,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,matchId,cumulative_mins,playerName,index,id,h_a,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,shotBodyType,situation,shotSixYardBox,shotPenaltyArea,shotOboxTotal,shotOpenPlay,shotCounter,shotSetPiece,shotDirectCorner,shotOffTarget,shotOnPost,shotOnTarget,shotsTotal,shotBlocked,shotRightFoot,shotLeftFoot,shotHead,shotObp,goalSixYardBox,goalPenaltyArea,goalObox,goalOpenPlay,goalCounter,goalSetPiece,penaltyScored,goalOwn,goalNormal,goalRightFoot,goalLeftFoot,goalHead,goalObp,shortPassInaccurate,shortPassAccurate,passCorner,passCornerAccurate,passCornerInaccurate,passFreekick,passBack,passForward,passLeft,passRight,keyPassLong,keyPassShort,keyPassCross,keyPassCorner,keyPassThroughball,keyPassFreekick,keyPassThrowin,keyPassOther,assistCross,assistCorner,assistThroughball,assistFreekick,assistThrowin,assistOther,dribbleLost,dribbleWon,challengeLost,interceptionWon,clearanceHead,outfielderBlock,passCrossBlockedDefensive,outfielderBlockedPass,offsideGiven,offsideProvoked,foulGiven,foulCommitted,yellowCard,voidYellowCard,secondYellow,redCard,turnover,dispossessed,saveLowLeft,saveHighLeft,saveLowCentre,saveHighCentre,saveLowRight,saveHighRight,saveHands,saveFeet,saveObp,saveSixYardBox,savePenaltyArea,saveObox,keeperDivingSave,standingSave,closeMissHigh,closeMissHighLeft,closeMissHighRight,closeMissLeft,closeMissRight,shotOffTargetInsideBox,touches,assist,ballRecovery,clearanceEffective,clearanceTotal,clearanceOffTheLine,dribbleLastman,errorLeadsToGoal,errorLeadsToShot,intentionalAssist,interceptionAll,interceptionIntheBox,keeperClaimHighLost,keeperClaimHighWon,keeperClaimLost,keeperClaimWon,keeperOneToOneWon,parriedDanger,parriedSafe,collected,keeperPenaltySaved,keeperSaveInTheBox,keeperSaveTotal,keeperSmother,keeperSweeperLost,keeperMissed,passAccurate,passBackZoneInaccurate,passForwardZoneAccurate,passInaccurate,passAccuracy,cornerAwarded,passKey,passChipped,passCrossAccurate,passCrossInaccurate,passLongBallAccurate,passLongBallInaccurate,passThroughBallAccurate,passThroughBallInaccurate,passThroughBallInacurate,passFreekickAccurate,passFreekickInaccurate,penaltyConceded,penaltyMissed,penaltyWon,passRightFoot,passLeftFoot,passHead,sixYardBlock,tackleLastMan,tackleLost,tackleWon,cleanSheetGK,cleanSheetDL,cleanSheetDC,cleanSheetDR,cleanSheetDML,cleanSheetDMC,cleanSheetDMR,cleanSheetML,cleanSheetMC,cleanSheetMR,cleanSheetAML,cleanSheetAMC,cleanSheetAMR,cleanSheetFWL,cleanSheetFW,cleanSheetFWR,cleanSheetSub,goalConcededByTeamGK,goalConcededByTeamDL,goalConcededByTeamDC,goalConcededByTeamDR,goalConcededByTeamDML,goalConcededByTeamDMC,goalConcededByTeamDMR,goalConcededByTeamML,goalConcededByTeamMC,goalConcededByTeamMR,goalConcededByTeamAML,goalConcededByTeamAMC,goalConcededByTeamAMR,goalConcededByTeamFWL,goalConcededByTeamFW,goalConcededByTeamFWR,goalConcededByTeamSub,goalConcededOutsideBoxGoalkeeper,goalScoredByTeamGK,goalScoredByTeamDL,goalScoredByTeamDC,goalScoredByTeamDR,goalScoredByTeamDML,goalScoredByTeamDMC,goalScoredByTeamDMR,goalScoredByTeamML,goalScoredByTeamMC,goalScoredByTeamMR,goalScoredByTeamAML,goalScoredByTeamAMC,goalScoredByTeamAMR,goalScoredByTeamFWL,goalScoredByTeamFW,goalScoredByTeamFWR,goalScoredByTeamSub,aerialSuccess,duelAerialWon,duelAerialLost,offensiveDuel,defensiveDuel,bigChanceMissed,bigChanceScored,bigChanceCreated,overrun,successfulFinalThirdPasses,punches,penaltyShootoutScored,penaltyShootoutMissedOffTarget,penaltyShootoutSaved,penaltyShootoutSavedGK,penaltyShootoutConcededGK,throwIn,subOn,subOff,defensiveThird,midThird,finalThird,pos,EPV,second_frac,xT,xT_gen,teamName
21471,3.0,0.0,0.0,162,50.0,50.0,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndY', 'value': '50.2'}, {'type': 'PassEndX', 'value': '34.0'}, {'type': 'Angle', 'value': '3.13'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'Length', 'value': '16.8'}, {'type': 'StandingSave'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,332403.0,34.0,50.2,,,,,0.0,,,0.0,False,,1729257,0.0,Eberechi Eze,2.0,2581965755.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.0024999999999999,0.0,-0.0037982917717717703,0.0,Crystal Palace
21472,4.0,0.0,3.0,162,34.7,50.2,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': 'StandingSave'}, {'type': 'PassEndX', 'value': '78.1'}, {'type': 'Longball'}, {'type': 'Length', 'value': '53.8'}, {'type': 'Chipped'}, {'type': 'PassEndY', 'value': '92.3'}, {'type': 'Angle', 'value': '0.56'}, {'type': 'Zone', 'value': 'Left'}]","['touches', 'passInaccurate', 'passChipped', 'passLongBallInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",True,231135.0,78.1,92.3,,,,,0.0,,,0.0,False,,1729257,0.05,Joachim Andersen,3.0,2581965807.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,0.05,,,Crystal Palace
21473,6.0,0.0,24.0,162,81.7,100.0,0.0,FirstHalf,Pass,Successful,"[{'type': 'Zone', 'value': 'Left'}, {'type': 'ThrowIn'}, {'type': 'PassEndY', 'value': '95.8'}, {'type': 'PassEndX', 'value': '71.4'}, {'type': 'Length', 'value': '11.6'}, {'type': 'Angle', 'value': '3.50'}]","['touches', 'throwIn', 'passBack', 'passRight', 'finalThird']",True,389579.0,71.4,95.8,,,,,0.0,,,0.0,False,,1729257,0.4,Tyrick Mitchell,5.0,2581966291.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,-0.0086,0.4,-0.008143143918918922,0.0,Crystal Palace
21474,7.0,0.0,26.0,162,71.4,95.8,0.0,FirstHalf,Pass,Successful,"[{'type': 'Length', 'value': '6.2'}, {'type': 'StandingSave'}, {'type': 'PassEndX', 'value': '77.3'}, {'type': 'Angle', 'value': '0.11'}, {'type': 'Zone', 'value': 'Left'}, {'type': 'Chipped'}, {'type': 'PassEndY', 'value': '96.8'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passChipped', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,133464.0,77.3,96.8,,,,,0.0,,,0.0,False,,1729257,0.4333333333333333,Jefferson Lerma,6.0,2581966351.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0.005,0.4333333333333333,0.004494510150150156,0.004494510150150156,Crystal Palace
21475,7.0,0.0,48.0,189,24.2,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndY', 'value': '7.1'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'ThrowIn'}, {'type': 'Angle', 'value': '0.30'}, {'type': 'Length', 'value': '19.4'}, {'type': 'PassEndX', 'value': '41.9'}]","['touches', 'throwIn', 'passForward', 'passLeft', 'midThird']",True,402367.0,41.9,7.1,,,,,0.0,,,0.0,False,,1729257,0.8,Aaron Hickey,8.0,2581967005.0,h,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.0029999999999999,0.8,0.0030025483918452982,0.0030025483918452982,Brentford
21476,8.0,0.0,49.0,189,41.9,7.3,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': 'PassEndX', 'value': '56.3'}, {'type': 'Angle', 'value': '0.16'}, {'type': 'PassEndY', 'value': '10.9'}, {'type': 'HeadPass'}, {'type': 'Zone', 'value': 'Right'}, {'type': 'Length', 'value': '15.3'}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passLeft', 'midThird', 'pos']",True,353377.0,56.3,10.9,,,,,0.0,,,0.0,False,,1729257,0.8166666666666667,Bryan Mbeumo,9.0,2581967019.0,h,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,0.8166666666666667,,,Brentford
21477,11.0,0.0,52.0,162,39.1,75.6,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndX', 'value': '38.4'}, {'type': 'Angle', 'value': '4.62'}, {'type': 'PassEndY', 'value': '64.0'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'Length', 'value': '7.9'}, {'type': 'StandingSave'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,374631.0,38.4,64.0,,,,,0.0,,,0.0,False,,1729257,0.8666666666666667,Marc Guéhi,11.0,2581967135.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0008,0.8666666666666667,0.00015395684249564466,0.00015395684249564466,Crystal Palace
21478,12.0,0.0,55.0,162,38.6,65.3,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndY', 'value': '77.0'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'StandingSave'}, {'type': 'Length', 'value': '8.0'}, {'type': 'Angle', 'value': '1.62'}, {'type': 'PassEndX', 'value': '38.2'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,231135.0,38.2,77.0,,,,,0.0,,,0.0,False,,1729257,0.9166666666666666,Joachim Andersen,12.0,2581967241.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.0008,0.9166666666666666,-0.000439054190834981,0.0,Crystal Palace
21479,13.0,0.0,58.0,162,38.7,73.6,0.0,FirstHalf,Pass,Successful,"[{'type': 'Angle', 'value': '5.52'}, {'type': 'PassEndY', 'value': '65.7'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'PassEndX', 'value': '44.1'}, {'type': 'Length', 'value': '7.8'}, {'type': 'StandingSave'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,374631.0,44.1,65.7,,,,,0.0,,,0.0,False,,1729257,0.9666666666666668,Marc Guéhi,13.0,2581967265.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.002,0.9666666666666668,0.0013486827677001365,0.0013486827677001365,Crystal Palace
21480,14.0,0.0,59.0,162,44.1,65.7,0.0,FirstHalf,Pass,Successful,"[{'type': 'StandingSave'}, {'type': 'PassEndY', 'value': '76.9'}, {'type': 'Length', 'value': '12.0'}, {'type': 'LayOff'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'PassEndX', 'value': '35.3'}, {'type': 'Angle', 'value': '2.45'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,374993.0,35.3,76.9,,,,,0.0,,,0.0,False,,1729257,0.9833333333333332,Cheick Doucouré,14.0,2581967293.0,a,2023-08-26,2023-08-26T15:00:00,1 : 1,1 : 1,1 : 0,,Gtech Community Stadium,95.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.0029999999999999,0.9833333333333332,-0.002142449906325247,0.0,Crystal Palace
