,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,matchId,cumulative_mins,playerName,index,id,h_a,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,shotBodyType,situation,shotSixYardBox,shotPenaltyArea,shotOboxTotal,shotOpenPlay,shotCounter,shotSetPiece,shotDirectCorner,shotOffTarget,shotOnPost,shotOnTarget,shotsTotal,shotBlocked,shotRightFoot,shotLeftFoot,shotHead,shotObp,goalSixYardBox,goalPenaltyArea,goalObox,goalOpenPlay,goalCounter,goalSetPiece,penaltyScored,goalOwn,goalNormal,goalRightFoot,goalLeftFoot,goalHead,goalObp,shortPassInaccurate,shortPassAccurate,passCorner,passCornerAccurate,passCornerInaccurate,passFreekick,passBack,passForward,passLeft,passRight,keyPassLong,keyPassShort,keyPassCross,keyPassCorner,keyPassThroughball,keyPassFreekick,keyPassThrowin,keyPassOther,assistCross,assistCorner,assistThroughball,assistFreekick,assistThrowin,assistOther,dribbleLost,dribbleWon,challengeLost,interceptionWon,clearanceHead,outfielderBlock,passCrossBlockedDefensive,outfielderBlockedPass,offsideGiven,offsideProvoked,foulGiven,foulCommitted,yellowCard,voidYellowCard,secondYellow,redCard,turnover,dispossessed,saveLowLeft,saveHighLeft,saveLowCentre,saveHighCentre,saveLowRight,saveHighRight,saveHands,saveFeet,saveObp,saveSixYardBox,savePenaltyArea,saveObox,keeperDivingSave,standingSave,closeMissHigh,closeMissHighLeft,closeMissHighRight,closeMissLeft,closeMissRight,shotOffTargetInsideBox,touches,assist,ballRecovery,clearanceEffective,clearanceTotal,clearanceOffTheLine,dribbleLastman,errorLeadsToGoal,errorLeadsToShot,intentionalAssist,interceptionAll,interceptionIntheBox,keeperClaimHighLost,keeperClaimHighWon,keeperClaimLost,keeperClaimWon,keeperOneToOneWon,parriedDanger,parriedSafe,collected,keeperPenaltySaved,keeperSaveInTheBox,keeperSaveTotal,keeperSmother,keeperSweeperLost,keeperMissed,passAccurate,passBackZoneInaccurate,passForwardZoneAccurate,passInaccurate,passAccuracy,cornerAwarded,passKey,passChipped,passCrossAccurate,passCrossInaccurate,passLongBallAccurate,passLongBallInaccurate,passThroughBallAccurate,passThroughBallInaccurate,passThroughBallInacurate,passFreekickAccurate,passFreekickInaccurate,penaltyConceded,penaltyMissed,penaltyWon,passRightFoot,passLeftFoot,passHead,sixYardBlock,tackleLastMan,tackleLost,tackleWon,cleanSheetGK,cleanSheetDL,cleanSheetDC,cleanSheetDR,cleanSheetDML,cleanSheetDMC,cleanSheetDMR,cleanSheetML,cleanSheetMC,cleanSheetMR,cleanSheetAML,cleanSheetAMC,cleanSheetAMR,cleanSheetFWL,cleanSheetFW,cleanSheetFWR,cleanSheetSub,goalConcededByTeamGK,goalConcededByTeamDL,goalConcededByTeamDC,goalConcededByTeamDR,goalConcededByTeamDML,goalConcededByTeamDMC,goalConcededByTeamDMR,goalConcededByTeamML,goalConcededByTeamMC,goalConcededByTeamMR,goalConcededByTeamAML,goalConcededByTeamAMC,goalConcededByTeamAMR,goalConcededByTeamFWL,goalConcededByTeamFW,goalConcededByTeamFWR,goalConcededByTeamSub,goalConcededOutsideBoxGoalkeeper,goalScoredByTeamGK,goalScoredByTeamDL,goalScoredByTeamDC,goalScoredByTeamDR,goalScoredByTeamDML,goalScoredByTeamDMC,goalScoredByTeamDMR,goalScoredByTeamML,goalScoredByTeamMC,goalScoredByTeamMR,goalScoredByTeamAML,goalScoredByTeamAMC,goalScoredByTeamAMR,goalScoredByTeamFWL,goalScoredByTeamFW,goalScoredByTeamFWR,goalScoredByTeamSub,aerialSuccess,duelAerialWon,duelAerialLost,offensiveDuel,defensiveDuel,bigChanceMissed,bigChanceScored,bigChanceCreated,overrun,successfulFinalThirdPasses,punches,penaltyShootoutScored,penaltyShootoutMissedOffTarget,penaltyShootoutSaved,penaltyShootoutSavedGK,penaltyShootoutConcededGK,throwIn,subOn,subOff,defensiveThird,midThird,finalThird,pos,EPV,second_frac,xT,xT_gen,teamName
83604,3.0,0.0,0.0,31,49.8,50.0,0.0,FirstHalf,Pass,Successful,"[{'type': 'Length', 'value': '16.7'}, {'type': 'PassEndY', 'value': '51.1'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'StandingSave'}, {'type': 'PassEndX', 'value': '33.9'}, {'type': 'Angle', 'value': '3.10'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,367781.0,33.9,51.1,,,,,0.0,,,0.0,False,,1729213,0.0,James Garner,2.0,2605802931.0,a,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.0024999999999999,0.0,-0.0037803554354354334,0.0,Everton
83605,4.0,0.0,3.0,31,33.9,51.1,0.0,FirstHalf,Pass,Successful,"[{'type': 'Chipped'}, {'type': 'Angle', 'value': '0.64'}, {'type': 'StandingSave'}, {'type': 'Longball'}, {'type': 'Zone', 'value': 'Left'}, {'type': 'PassEndY', 'value': '84.9'}, {'type': 'PassEndX', 'value': '63.5'}, {'type': 'Length', 'value': '38.7'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'passChipped', 'passLongBallAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,131464.0,63.5,84.9,,,,,0.0,,,0.0,False,,1729213,0.05,James Tarkowski,3.0,2605802969.0,a,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0067,0.05,0.006894920569736406,0.006894920569736406,Everton
83606,6.0,0.0,6.0,31,68.5,93.6,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': 'Longball'}, {'type': 'Zone', 'value': 'Left'}, {'type': 'Length', 'value': '34.2'}, {'type': 'Angle', 'value': '6.18'}, {'type': 'HeadPass'}, {'type': 'PassEndY', 'value': '88.6'}, {'type': 'PassEndX', 'value': '100.0'}]","['touches', 'passInaccurate', 'passHead', 'passLongBallInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",True,141469.0,100.0,88.6,,,,,0.0,,,0.0,False,,1729213,0.1,Dominic Calvert-Lewin,6.0,2605803019.0,a,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,0.1,,,Everton
83607,6.0,0.0,23.0,26,4.7,49.4,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndY', 'value': '31.3'}, {'type': 'Length', 'value': '12.5'}, {'type': 'GoalKick'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'Angle', 'value': '4.91'}, {'type': 'PassEndX', 'value': '7.0'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,114147.0,7.0,31.3,,,,,0.0,,,0.0,False,,1729213,0.3833333333333333,Alisson Becker,8.0,2605803181.0,h,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.001,0.3833333333333333,-0.00031160037509731994,0.0,Liverpool
83608,7.0,0.0,25.0,26,7.2,31.9,0.0,FirstHalf,Pass,Successful,"[{'type': 'StandingSave'}, {'type': 'Length', 'value': '18.8'}, {'type': 'PassEndY', 'value': '52.2'}, {'type': 'Angle', 'value': '0.82'}, {'type': 'PassEndX', 'value': '19.4'}, {'type': 'Zone', 'value': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'defensiveThird', 'pos']",True,345957.0,19.4,52.2,,,,,0.0,,,0.0,False,,1729213,0.4166666666666667,Ibrahima Konaté,9.0,2605803223.0,h,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.0015999999999999,0.4166666666666667,0.0010390469344344344,0.0010390469344344344,Liverpool
83609,8.0,0.0,28.0,26,17.5,48.4,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': 'StandingSave'}, {'type': 'Angle', 'value': '5.06'}, {'type': 'Length', 'value': '7.4'}, {'type': 'Zone', 'value': 'Back'}, {'type': 'PassEndX', 'value': '19.9'}, {'type': 'PassEndY', 'value': '38.2'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,345319.0,19.9,38.2,,,,,0.0,,,0.0,False,,1729213,0.4666666666666667,Alexis Mac Allister,10.0,2605803237.0,h,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.4666666666666667,,,Liverpool
83610,10.0,0.0,33.0,31,82.1,92.7,0.0,FirstHalf,Pass,Successful,"[{'type': 'ShotAssist', 'value': '15'}, {'type': 'StandingSave'}, {'type': 'PassEndY', 'value': '51.8'}, {'type': 'Zone', 'value': 'Center'}, {'type': 'LeftFoot'}, {'type': 'Cross'}, {'type': 'Angle', 'value': '4.99'}, {'type': 'PassEndX', 'value': '89.6'}, {'type': 'IntentionalAssist'}, {'type': 'Chipped'}, {'type': 'Length', 'value': '28.9'}, {'type': 'KeyPass'}]","['touches', 'passForwardZoneAccurate', 'passKey', 'passLeftFoot', 'passChipped', 'passCrossAccurate', 'keyPassShort', 'keyPassCross', 'passForward', 'passRight', 'finalThird', 'pos']",True,357427.0,89.6,51.8,,,,,0.0,,,0.0,False,,1729213,0.55,Dwight McNeil,15.0,2605803313.0,a,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0.1046999999999999,0.55,0.11505611141952747,0.11505611141952747,Everton
83611,13.0,0.0,39.0,26,15.3,54.6,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndY', 'value': '86.0'}, {'type': 'PassEndX', 'value': '25.3'}, {'type': 'Length', 'value': '23.8'}, {'type': 'StandingSave'}, {'type': 'KeeperThrow'}, {'type': 'Angle', 'value': '1.11'}, {'type': 'Zone', 'value': 'Back'}]","['touches', 'passForward', 'passLeft', 'defensiveThird', 'pos']",True,114147.0,25.3,86.0,,,,,0.0,,,0.0,False,,1729213,0.65,Alisson Becker,21.0,2605803435.0,h,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.0006999999999999,0.65,-0.0008931721288781263,0.0,Liverpool
83612,14.0,0.0,44.0,26,30.4,83.9,0.0,FirstHalf,Pass,Successful,"[{'type': 'Length', 'value': '61.5'}, {'type': 'Chipped'}, {'type': 'PassEndX', 'value': '62.4'}, {'type': 'Zone', 'value': 'Right'}, {'type': 'Longball'}, {'type': 'PassEndY', 'value': '8.2'}, {'type': 'StandingSave'}, {'type': 'Angle', 'value': '5.29'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'passChipped', 'passLongBallAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,363884.0,62.4,8.2,,,,,0.0,,,0.0,False,,1729213,0.7333333333333333,Ryan Gravenberch,22.0,2605803503.0,h,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0076,0.7333333333333333,0.006975564397618341,0.006975564397618341,Liverpool
83613,17.0,0.0,58.0,26,61.7,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': 'PassEndY', 'value': '21.0'}, {'type': 'ThrowIn'}, {'type': 'Angle', 'value': '1.99'}, {'type': 'Zone', 'value': 'Right'}, {'type': 'PassEndX', 'value': '55.2'}, {'type': 'Length', 'value': '16.8'}]","['touches', 'throwIn', 'passBack', 'passLeft', 'midThird']",True,318871.0,55.2,21.0,,,,,0.0,,,0.0,False,,1729213,0.9666666666666668,Trent Alexander-Arnold,26.0,2605803711.0,h,2023-10-21,2023-10-21T12:30:00,2 : 0,2 : 0,0 : 0,,Anfield,99.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,-0.0002999999999999,0.9666666666666668,-0.0006223445967589274,0.0,Liverpool
